,frequency,path_loss
244,34000.0,33995.0
245,34100.0,34095.0
246,34200.0,34195.0
247,34300.0,34295.0
248,34400.0,34395.0
249,34500.0,34495.0
250,34600.0,34595.0
251,34700.0,34695.0
252,34800.0,34795.0
253,34900.0,34895.0
